Rk,Season,Team,Pts,Pts/MP,xG,xGA,Poss,Gls,Ast,PK,PKatt,CrdR,GA90,SoTA,Saves,CS,PKsv,PKm,Sh,SoT,Sh/90,G/Sh,G/SoT,Crs,OG
5,2020-21,Leicester City,66,1.74,55.8,46.0,54.3,64,45,10,12,0.0,1.32,136,88,11,0,0,473,170,12.45,0.11,0.32,649,2
6,2020-21,West Ham,65,1.71,55.4,48.7,43.2,60,46,2,4,3.0,1.24,147,103,11,1,1,464,158,12.21,0.13,0.37,775,4
7,2020-21,Tottenham,62,1.63,53.1,49.1,51.6,66,50,5,5,2.0,1.18,155,113,12,0,0,438,167,11.53,0.14,0.37,526,3
8,2020-21,Arsenal,61,1.61,51.8,43.0,53.5,53,38,6,6,5.0,1.03,129,93,12,1,0,453,140,11.92,0.1,0.34,751,4
9,2020-21,Leeds United,59,1.55,55.6,57.9,57.3,60,45,4,4,1.0,1.42,198,145,12,1,0,518,193,13.63,0.11,0.29,786,2
10,2020-21,Everton,59,1.55,45.7,50.1,46.4,45,32,4,5,2.0,1.26,161,114,12,0,1,395,143,10.39,0.1,0.29,662,1
11,2020-21,Aston Villa,55,1.45,52.5,51.1,48.5,52,38,5,6,4.0,1.21,186,133,15,1,0,514,178,13.53,0.09,0.26,779,1
12,2020-21,Newcastle Utd,45,1.18,43.4,58.3,38.8,44,26,6,7,3.0,1.63,188,128,7,1,0,390,130,10.26,0.1,0.29,652,3
13,2020-21,Wolves,45,1.18,36.5,49.5,49.3,34,21,4,4,1.0,1.37,152,102,10,1,0,459,149,12.08,0.07,0.2,775,3
14,2020-21,Crystal Palace,44,1.16,34.1,58.2,40.6,39,29,3,4,2.0,1.74,174,107,8,1,0,345,127,9.08,0.1,0.28,533,0
15,2020-21,Southampton,43,1.13,41.2,53.1,52.0,47,33,5,6,3.0,1.79,178,110,9,1,0,418,157,11.0,0.1,0.27,554,1
16,2020-21,Brighton,41,1.08,50.9,35.3,51.1,39,24,6,9,6.0,1.21,125,81,12,0,1,478,134,12.58,0.07,0.25,686,2
17,2020-21,Burnley,39,1.03,39.3,54.7,42.1,32,20,3,3,0.0,1.45,179,125,11,0,0,381,124,10.03,0.08,0.23,772,1
18,2020-21,Fulham,28,0.74,40.5,52.6,49.7,26,18,3,6,3.0,1.39,170,118,9,0,0,436,125,11.47,0.05,0.18,710,1
19,2020-21,West Brom,26,0.68,35.8,67.9,37.9,33,20,4,4,4.0,2.0,240,166,6,1,3,335,106,8.82,0.09,0.27,604,3
20,2020-21,Sheffield Utd,23,0.61,32.6,62.2,41.7,19,13,3,4,3.0,1.66,206,145,5,0,1,319,92,8.39,0.05,0.17,666,3
1,2021-22,Manchester City,93,2.45,88.7,24.6,67.9,96,63,7,9,1.0,0.68,85,59,21,0,0,704,237,18.53,0.13,0.38,869,0
2,2021-22,Liverpool,92,2.42,88.7,33.8,62.7,94,71,7,8,1.0,0.68,107,82,21,0,0,721,237,18.97,0.12,0.37,897,1
3,2021-22,Chelsea,74,1.95,63.4,33.2,61.8,75,52,8,9,1.0,0.87,115,83,16,0,0,583,200,15.34,0.11,0.34,745,1
4,2021-22,Tottenham,71,1.87,61.2,39.3,51.8,63,50,5,5,1.0,1.05,137,98,16,0,0,486,185,12.79,0.12,0.31,632,1
5,2021-22,Arsenal,69,1.82,60.5,45.7,52.8,60,41,5,8,4.0,1.26,147,100,13,0,1,581,186,15.29,0.09,0.3,633,1
6,2021-22,Manchester Utd,58,1.53,55.8,53.0,52.7,56,46,3,5,2.0,1.5,180,124,8,2,0,503,179,13.24,0.11,0.3,659,3
7,2021-22,West Ham,56,1.47,51.4,53.5,47.9,58,46,4,6,3.0,1.34,165,113,8,3,1,443,142,11.66,0.12,0.38,802,2
8,2021-22,Leicester City,52,1.37,47.8,59.3,52.0,62,46,2,2,1.0,1.55,192,132,7,2,0,433,164,11.39,0.14,0.37,556,1
9,2021-22,Brighton,51,1.34,46.2,42.9,54.4,40,30,4,7,2.0,1.16,146,102,11,0,1,482,141,12.68,0.07,0.26,728,0
10,2021-22,Wolves,51,1.34,37.5,56.9,49.5,35,22,1,1,2.0,1.13,167,125,11,0,1,401,133,10.55,0.08,0.26,587,1
11,2021-22,Newcastle Utd,49,1.29,38.1,57.1,40.4,41,23,3,3,2.0,1.63,165,104,8,1,0,446,142,11.74,0.09,0.27,592,2
12,2021-22,Crystal Palace,48,1.26,46.4,40.7,51.1,50,31,6,8,1.0,1.21,144,99,12,1,0,404,140,10.63,0.11,0.31,643,2
13,2021-22,Brentford,46,1.21,45.8,48.5,44.8,46,33,6,6,3.0,1.47,179,125,9,0,0,436,141,11.47,0.09,0.28,640,2
14,2021-22,Aston Villa,45,1.18,44.0,49.0,46.5,50,42,3,3,2.0,1.42,149,96,11,1,1,461,159,12.13,0.1,0.3,670,2
15,2021-22,Southampton,40,1.05,44.8,60.0,47.7,41,26,4,4,2.0,1.76,183,118,8,0,0,478,161,12.58,0.08,0.23,711,2
16,2021-22,Everton,39,1.03,41.2,55.4,40.0,42,29,6,7,6.0,1.74,188,127,8,0,0,430,130,11.32,0.08,0.28,653,5
17,2021-22,Leeds United,38,1.0,44.4,67.8,52.3,42,26,5,5,3.0,2.08,224,146,5,0,0,480,142,12.63,0.08,0.26,648,1
18,2021-22,Burnley,35,0.92,39.7,57.1,40.2,32,26,1,2,2.0,1.39,178,127,9,0,0,405,119,10.66,0.08,0.26,747,2
19,2021-22,Watford,23,0.61,40.0,64.5,40.7,33,26,1,2,3.0,2.03,188,113,4,1,0,397,123,10.45,0.08,0.26,610,3
20,2021-22,Norwich City,22,0.58,32.3,75.5,42.9,21,16,3,3,1.0,2.21,222,139,6,1,2,370,104,9.74,0.05,0.17,568,2
1,2022-23,Manchester City,89,2.34,78.6,32.1,64.7,92,69,9,10,1.0,0.87,92,60,13,0,0,590,205,15.53,0.14,0.4,742,1
2,2022-23,Arsenal,84,2.21,71.9,42.0,59.3,84,64,3,4,0.0,1.13,136,94,14,0,2,589,194,15.5,0.14,0.42,674,1
3,2022-23,Manchester Utd,75,1.97,67.7,50.4,53.7,56,42,3,3,2.0,1.13,142,99,17,1,0,590,206,15.53,0.09,0.26,517,1
4,2022-23,Newcastle Utd,71,1.87,72.0,39.6,52.3,64,42,6,6,1.0,0.87,127,94,14,2,1,565,184,14.87,0.1,0.32,740,2
5,2022-23,Liverpool,67,1.76,72.6,50.9,60.8,71,58,2,4,1.0,1.24,157,111,14,1,1,601,203,15.82,0.11,0.34,799,2
6,2022-23,Brighton,62,1.63,73.3,50.2,60.2,68,46,6,6,0.0,1.39,131,82,12,2,0,607,219,15.97,0.1,0.28,694,6
7,2022-23,Aston Villa,61,1.61,50.2,52.5,49.3,49,35,3,4,1.0,1.21,151,108,12,1,0,427,145,11.24,0.11,0.32,561,4
8,2022-23,Tottenham,60,1.58,57.0,49.6,50.0,68,46,5,6,3.0,1.66,172,109,10,1,0,512,186,13.47,0.12,0.34,719,1
9,2022-23,Brentford,59,1.55,56.7,49.9,43.8,56,36,7,8,1.0,1.21,197,154,12,0,0,400,147,10.53,0.12,0.33,661,3
10,2022-23,Fulham,52,1.37,46.2,63.8,48.8,52,33,5,9,1.0,1.39,196,144,9,1,0,420,137,11.05,0.11,0.34,769,2
11,2022-23,Crystal Palace,45,1.18,39.3,48.1,46.3,38,29,1,3,3.0,1.29,160,114,9,0,0,423,133,11.13,0.09,0.28,591,3
12,2022-23,Chelsea,44,1.16,49.5,52.5,58.7,37,27,3,3,3.0,1.24,159,115,10,0,0,481,151,12.66,0.07,0.23,693,3
13,2022-23,Wolves,41,1.08,36.8,59.9,49.9,28,12,3,3,6.0,1.53,174,115,11,2,0,409,119,10.76,0.06,0.21,661,1
14,2022-23,West Ham,40,1.05,49.2,53.0,42.1,41,25,6,8,0.0,1.45,170,115,9,1,1,466,133,12.26,0.08,0.26,768,1
15,2022-23,Bournemouth,39,1.03,38.6,63.9,40.4,37,24,0,0,0.0,1.87,204,136,8,0,1,358,126,9.42,0.1,0.29,509,3
16,2022-23,Nott'ham Forest,38,1.0,39.3,64.2,37.6,36,22,3,6,0.0,1.79,182,112,8,2,1,362,111,9.53,0.09,0.3,530,0
17,2022-23,Everton,36,0.95,45.2,65.7,42.8,32,24,3,3,2.0,1.5,185,127,9,1,0,426,143,11.21,0.07,0.2,704,0
18,2022-23,Leicester City,34,0.89,50.6,63.4,47.7,49,36,3,6,2.0,1.79,178,113,7,1,0,412,142,10.84,0.11,0.32,496,5
19,2022-23,Leeds United,31,0.82,47.4,67.2,47.0,45,31,1,3,3.0,2.05,185,108,5,0,1,459,141,12.08,0.1,0.31,653,1
20,2022-23,Southampton,25,0.66,37.7,61.0,44.5,36,25,2,4,0.0,1.92,150,81,4,1,0,413,132,10.87,0.08,0.26,613,5
